date,value
7-6-2021,2499.224
8-6-2021,2453.183
9-6-2021,2399.072
10-6-2021,2615.784
11-6-2021,2664.284
12-6-2021,2599.4
13-6-2021,2584.936
14-6-2021,2625.067
15-6-2021,2641.159
16-6-2021,2540.162
17-6-2021,2624.469
18-6-2021,2249.14
19-6-2021,2378.168
20-6-2021,2063.744
21-6-2021,2137.205
22-6-2021,2316.755
23-6-2021,2207.263
24-6-2021,2042.364
25-6-2021,2322.378
26-6-2021,2211.201
27-6-2021,2216.747
28-6-2021,2260.869
29-6-2021,2257.767
30-6-2021,2267.368
1-7-2021,2194.571
2-7-2021,2210.869
3-7-2021,2209.694
4-7-2021,2185.248
5-7-2021,2209
6-7-2021,2144.06
7-7-2021,2063.303
8-7-2021,2064.695
9-7-2021,2180.949
10-7-2021,2166.085
11-7-2021,2201.203
12-7-2021,2198.391
13-7-2021,2198.895
14-7-2021,2215.487
15-7-2021,2183.432
16-7-2021,2102.014
17-7-2021,2295.659
18-7-2021,2199.965
19-7-2021,2225.339
20-7-2021,2295.678
21-7-2021,2336.748
22-7-2021,2385.069
23-7-2021,2378.296
24-7-2021,2391.986
25-7-2021,2392.315
26-7-2021,2378.393
27-7-2021,2140.716
28-7-2021,2375.291
29-7-2021,2383.735
30-7-2021,2163.406
31-7-2021,1922.428
1-8-2021,2343.239
2-8-2021,1971.006
3-8-2021,2043.062
4-8-2021,2240.515
5-8-2021,2215.953
6-8-2021,2205.381
7-8-2021,2145.413
8-8-2021,2285.404
9-8-2021,2248.732
10-8-2021,2205.694
11-8-2021,2272.326
12-8-2021,2253.287
13-8-2021,2338.134
14-8-2021,2307.202
15-8-2021,2309.047
16-8-2021,2353.308
17-8-2021,2356.336
18-8-2021,2270.177
19-8-2021,2347.72
20-8-2021,2347.529
21-8-2021,2379.431
22-8-2021,2398.512
23-8-2021,2485.946
24-8-2021,2535.368
25-8-2021,2690.641
26-8-2021,2736.703
27-8-2021,2454.386
28-8-2021,2427.468
29-8-2021,2413.979
30-8-2021,2648.125
31-8-2021,2641.794
1-9-2021,2674.098
2-9-2021,2639.634
3-9-2021,2566.847
4-9-2021,2670.395
5-9-2021,2345.307
6-9-2021,2680.011
